,zeitung,zeitungLabel,nuts,popLabel,pop,source
181,http://www.wikidata.org/entity/Q2258020,Schwäbische Zeitung,DE148,Landkreis Ravensburg,http://www.wikidata.org/entity/Q8225,neu - hinzgefügt
147,http://www.wikidata.org/entity/Q1156267,Schwäbisches Tagblatt,DE142,Landkreis Tübingen,http://www.wikidata.org/entity/Q8214,neu - hinzgefügt
133,http://www.wikidata.org/entity/Q2298878,Solinger Tageblatt,DEA19,Solingen,http://www.wikidata.org/entity/Q2942,neu - hinzgefügt
86,http://www.wikidata.org/entity/Q1566708,Stader Tageblatt,DE932,Landkreis Cuxhaven,http://www.wikidata.org/entity/Q5897,neu - hinzgefügt
94,http://www.wikidata.org/entity/Q1566708,Stader Tageblatt,DE937,Landkreis Rotenburg (Wümme),http://www.wikidata.org/entity/Q5923,neu - hinzgefügt
87,http://www.wikidata.org/entity/Q1566708,Stader Tageblatt,DE939,Landkreis Stade,http://www.wikidata.org/entity/Q5906,neu - hinzgefügt
98,http://www.wikidata.org/entity/Q2359571,Stuttgarter Nachrichten,DE111,Stuttgart,http://www.wikidata.org/entity/Q1022,neu - hinzgefügt
61,http://www.wikidata.org/entity/Q2359571,Stuttgarter Nachrichten,DE112,Landkreis Böblingen,http://www.wikidata.org/entity/Q8536,neu - hinzgefügt
73,http://www.wikidata.org/entity/Q2359571,Stuttgarter Nachrichten,DE113,Landkreis Esslingen,http://www.wikidata.org/entity/Q8533,neu - hinzgefügt
62,http://www.wikidata.org/entity/Q2359571,Stuttgarter Nachrichten,DE114,Landkreis Göppingen,http://www.wikidata.org/entity/Q8525,neu - hinzgefügt
57,http://www.wikidata.org/entity/Q2359571,Stuttgarter Nachrichten,DE115,Landkreis Ludwigsburg,http://www.wikidata.org/entity/Q8541,neu - hinzgefügt
63,http://www.wikidata.org/entity/Q2359571,Stuttgarter Nachrichten,DE116,Rems-Murr-Kreis,http://www.wikidata.org/entity/Q8528,neu - hinzgefügt
64,http://www.wikidata.org/entity/Q319663,Stuttgarter Zeitung,DE111,Stuttgart,http://www.wikidata.org/entity/Q1022,neu - hinzgefügt
88,http://www.wikidata.org/entity/Q319663,Stuttgarter Zeitung,DE112,Landkreis Böblingen,http://www.wikidata.org/entity/Q8536,neu - hinzgefügt
101,http://www.wikidata.org/entity/Q319663,Stuttgarter Zeitung,DE113,Landkreis Esslingen,http://www.wikidata.org/entity/Q8533,neu - hinzgefügt
89,http://www.wikidata.org/entity/Q319663,Stuttgarter Zeitung,DE114,Landkreis Göppingen,http://www.wikidata.org/entity/Q8525,neu - hinzgefügt
78,http://www.wikidata.org/entity/Q319663,Stuttgarter Zeitung,DE115,Landkreis Ludwigsburg,http://www.wikidata.org/entity/Q8541,neu - hinzgefügt
93,http://www.wikidata.org/entity/Q319663,Stuttgarter Zeitung,DE116,Rems-Murr-Kreis,http://www.wikidata.org/entity/Q8528,neu - hinzgefügt
46,http://www.wikidata.org/entity/Q158870,Süddeutsche Zeitung,DE212,München,http://www.wikidata.org/entity/Q1726,neu - hinzgefügt
7,http://www.wikidata.org/entity/Q896616,Volksstimme,DEE03,Magdeburg,http://www.wikidata.org/entity/Q1733,neu - hinzgefügt
6,http://www.wikidata.org/entity/Q896616,Volksstimme,DEE04,Altmarkkreis Salzwedel,http://www.wikidata.org/entity/Q6061,neu - hinzgefügt
8,http://www.wikidata.org/entity/Q896616,Volksstimme,DEE05,Landkreis Anhalt-Bitterfeld,http://www.wikidata.org/entity/Q6071,neu - hinzgefügt
9,http://www.wikidata.org/entity/Q896616,Volksstimme,DEE06,Landkreis Jerichower Land,http://www.wikidata.org/entity/Q6068,neu - hinzgefügt
2,http://www.wikidata.org/entity/Q896616,Volksstimme,DEE07,Landkreis Börde,http://www.wikidata.org/entity/Q6064,neu - hinzgefügt
16,http://www.wikidata.org/entity/Q896616,Volksstimme,DEE09,Landkreis Harz,http://www.wikidata.org/entity/Q6087,neu - hinzgefügt
4,http://www.wikidata.org/entity/Q896616,Volksstimme,DEE0C,Salzlandkreis,http://www.wikidata.org/entity/Q6081,neu - hinzgefügt
3,http://www.wikidata.org/entity/Q896616,Volksstimme,DEE0D,Landkreis Stendal,http://www.wikidata.org/entity/Q6057,neu - hinzgefügt
127,http://www.wikidata.org/entity/Q194565,Welt am Sonntag,DE300,Berlin,http://www.wikidata.org/entity/Q64,neu - hinzgefügt
30,http://www.wikidata.org/entity/Q561840,Westdeutsche Allgemeine Zeitung,DEA13,Essen,http://www.wikidata.org/entity/Q2066,neu - hinzgefügt
42,http://www.wikidata.org/entity/Q2564538,Westdeutsche Zeitung,DEA1A,Wuppertal,http://www.wikidata.org/entity/Q2107,neu - hinzgefügt
161,http://www.wikidata.org/entity/Q2565138,Westfalenpost,DEA53,Hagen,http://www.wikidata.org/entity/Q2871,neu - hinzgefügt
114,http://www.wikidata.org/entity/Q1427024,Westfälische Nachrichten,DEA33,Münster,http://www.wikidata.org/entity/Q2742,neu - hinzgefügt
75,http://www.wikidata.org/entity/Q2576247,Wilhelmshavener Zeitung,DE945,Wilhelmshaven,http://www.wikidata.org/entity/Q3857,neu - hinzgefügt
58,http://www.wikidata.org/entity/Q19964969,Wolfsburger Allgemeine Zeitung,DE913,Wolfsburg,http://www.wikidata.org/entity/Q3014,neu - hinzgefügt
76,http://www.wikidata.org/entity/Q19964969,Wolfsburger Allgemeine Zeitung,DE914,Landkreis Gifhorn,http://www.wikidata.org/entity/Q6053,neu - hinzgefügt
69,http://www.wikidata.org/entity/Q2596618,Wümme-Zeitung,DE936,Landkreis Osterholz,http://www.wikidata.org/entity/Q5926,neu - hinzgefügt
166,http://www.wikidata.org/entity/Q264205,tz,DE212,München,http://www.wikidata.org/entity/Q1726,neu - hinzgefügt
